champion,changed_in_patch,source_scope,picks,wins,winrate,avg_kills,avg_deaths,avg_assists,avg_earnedgold,avg_damagetochampions,avg_dpm,avg_cspm
Pantheon,0,historical_unchanged,315,159,0.5047619047619047,4.336507936507936,3.295238095238095,6.219047619047619,12723.222222222223,,525.2539682539683,6.681587301587301
Aurora,0,historical_unchanged,274,121,0.4416058394160584,3.934306569343066,2.697080291970803,4.7700729927007295,12898.423357664233,,747.2883211678832,8.720437956204378
Renekton,0,historical_unchanged,273,141,0.5164835164835165,2.3846153846153846,2.8644688644688645,4.388278388278389,12628.520146520146,,577.1208791208791,8.861904761904762
Gnar,0,historical_unchanged,271,142,0.5239852398523985,2.3136531365313653,2.6715867158671585,4.723247232472325,13191.867158671586,,683.4612546125461,9.040221402214023
Lulu,0,historical_unchanged,251,114,0.4541832669322709,0.5617529880478087,2.3346613545816735,10.159362549800797,8432.02390438247,,199.16733067729083,1.0227091633466137
Wukong,0,historical_unchanged,248,110,0.4435483870967742,3.379032258064516,3.314516129032258,6.225806451612903,12797.592741935483,,411.90725806451616,7.056451612903226
Varus,0,historical_unchanged,246,127,0.516260162601626,4.711382113821138,3.0121951219512195,5.329268292682927,15658.524390243903,,825.0081300813008,9.326016260162605
Nami,0,historical_unchanged,243,115,0.4732510288065844,0.7489711934156379,2.740740740740741,10.539094650205762,8765.20987654321,,255.57201646090536,0.9411522633744855
Nautilus,0,historical_unchanged,223,94,0.42152466367713004,0.5291479820627802,4.089686098654709,9.47085201793722,8229.47533632287,,183.7847533632287,1.1282511210762332
Ashe,0,historical_unchanged,217,125,0.576036866359447,3.8847926267281108,2.9078341013824884,6.7050691244239635,14789.52073732719,,682.9907834101382,9.603225806451615
Orianna,0,historical_unchanged,213,116,0.5446009389671361,3.403755868544601,2.511737089201878,7.483568075117371,13401.647887323943,,691.4225352112676,9.286384976525822
Ahri,0,historical_unchanged,212,121,0.5707547169811321,4.127358490566038,2.1650943396226414,7.061320754716981,13741.82075471698,,696.4056603773585,9.19245283018868
Alistar,0,historical_unchanged,208,110,0.5288461538461539,0.39903846153846156,3.5528846153846154,10.41826923076923,8362.336538461539,,139.0528846153846,0.9528846153846154
Jhin,0,historical_unchanged,193,82,0.42487046632124353,4.134715025906735,2.2020725388601035,5.725388601036269,15944.891191709845,,662.5958549222798,9.792746113989637
Rakan,0,historical_unchanged,185,107,0.5783783783783784,0.4972972972972973,2.6972972972972973,11.394594594594595,8691.864864864865,,166.12432432432433,1.157837837837838
Karma,0,historical_unchanged,176,83,0.4715909090909091,0.6477272727272727,2.75,9.886363636363637,8757.767045454546,,266.78409090909093,1.1227272727272728
Jayce,0,historical_unchanged,169,69,0.40828402366863903,2.923076923076923,3.5502958579881656,4.828402366863905,13518.869822485207,,754.0769230769231,8.744378698224853
Sivir,0,historical_unchanged,157,81,0.5159235668789809,4.254777070063694,2.5605095541401273,6.452229299363057,17009.15286624204,,829.7070063694267,10.596178343949044
Aatrox,0,historical_unchanged,145,63,0.43448275862068964,3.206896551724138,2.9517241379310346,5.0344827586206895,12592.386206896552,,526.5379310344828,7.61103448275862
Caitlyn,0,historical_unchanged,136,81,0.5955882352941176,4.588235294117647,2.610294117647059,4.801470588235294,16736.53676470588,,766.5073529411765,10.151470588235293
Akali,0,historical_unchanged,132,69,0.5227272727272727,4.909090909090909,2.8257575757575757,4.090909090909091,13521.219696969696,,622.9318181818181,8.865151515151517
Lucian,0,historical_unchanged,131,62,0.4732824427480916,4.396946564885496,3.145038167938931,4.366412213740458,16081.923664122138,,860.2977099236641,9.687786259541983
Galio,0,historical_unchanged,130,62,0.47692307692307695,2.1538461538461537,2.9153846153846152,7.084615384615384,12117.476923076923,,509.7769230769231,8.393846153846152
Zaahen,0,historical_unchanged,127,66,0.5196850393700787,2.779527559055118,2.984251968503937,5.283464566929134,13085.133858267716,,612.0472440944882,8.113385826771655
Anivia,0,historical_unchanged,123,51,0.4146341463414634,2.6504065040650406,2.6666666666666665,6.186991869918699,12317.276422764227,,577.1219512195122,6.999186991869919
Dr. Mundo,0,historical_unchanged,112,59,0.5267857142857143,2.6785714285714284,2.6517857142857144,6.232142857142857,12881.473214285714,,660.0089285714286,7.149107142857143
Viktor,0,historical_unchanged,101,47,0.46534653465346537,3.1881188118811883,2.5445544554455446,5.465346534653466,13244.940594059406,,855.049504950495,9.057425742574257
